likeCount,commentCount,dislikeCount,viewCount,likes/view,dislikes/view,comments/views,likes/dislikes,views/subscribers
1172,139,105,100888,0.011616842,0.001040758,0.001377765,11.16190476,0.781598766
4217,500,158,237596,0.017748615,0.000664994,0.002104413,26.68987342,0.319960708
5249,1233,151,185156,0.028349068,0.000815529,0.006659249,34.7615894,0.340379179
48,0,2,1069,0.044901777,0.001870907,0,-2,0.690831698
8023,962,707,391849,0.020474724,0.001804266,0.002455027,11.34794908,0.474664704
948,82,57,71133,0.013327148,0.000801316,0.00115277,-2,0.688051738
3160,837,201,139454,0.022659802,0.001441335,0.006001979,15.72139303,0.474795248
3350,394,30,72657,0.046107051,0.000412899,0.00542274,111.6666667,0.378194332
3380,1114,124,144662,0.023364809,0.000857171,0.007700709,27.25806452,0.53548568
3730,206,95,151516,0.024617862,0.000626996,0.001359592,39.26315789,0.417653064
7548,129,215,490560,0.015386497,0.000438275,0.000262965,35.10697674,0.409011434
15764,1079,183,243379,0.064771406,0.000751914,0.004433415,86.1420765,0.215908045
3908,263,171,221962,0.017606617,0.000770402,0.001184888,22.85380117,0.508473633
2735,175,121,201403,0.013579738,0.000600785,0.000868905,22.60330579,0.396248018
3781,1700,102,140255,0.026958041,0.000727247,0.01212078,37.06862745,0.838586865
4715,439,444,243899,0.019331773,0.001820426,0.001799925,10.61936937,0.298442238
1673,154,132,143644,0.011646849,0.000918938,0.001072095,12.67424242,0.155491543
7343,967,197,407205,0.018032686,0.000483786,0.002374725,37.27411168,0.309587757
3865,588,363,277874,0.013909182,0.001306347,0.002116067,10.64738292,0.324255842
5196,402,242,236224,0.021996072,0.001024451,0.001701775,21.47107438,0.520849696
7551,912,747,1399888,0.005394003,0.000533614,0.000651481,10.10843373,0.475015676
-1,-1,-1,580072,-1,-1,-1,-1,0.431017842
4590,526,970,312691,0.014679028,0.003102104,0.001682172,4.731958763,0.30015644
1277,323,197,86706,0.014727931,0.002272046,0.003725232,6.482233503,0.521962536
1455,178,82,94724,0.015360416,0.000865673,0.001879144,17.74390244,0.307409159
3417,492,46,123079,0.027762657,0.000373744,0.003997433,74.2826087,0.87144988
5998,642,56,79188,0.0757438,0.000707178,0.008107289,107.1071429,0.594671637
323,6,4,27694,0.011663176,0.000144436,0.000216653,-2,0.505537448
3038,361,38,75038,0.040486154,0.00050641,0.004810896,79.94736842,2.995867512
1066,118,69,149342,0.007137979,0.000462027,0.000790133,15.44927536,0.669182683
1247,149,179,148860,0.008376999,0.001202472,0.00100094,6.966480447,0.185557479
190,5,7,13856,0.013712471,0.000505196,0.000360855,-2,0.202716613
3886,1071,151,314332,0.012362725,0.000480384,0.003407225,25.73509934,0.263398484
577,113,78,58021,0.009944675,0.001344341,0.001947571,-2,0.169468384
301,33,44,40087,0.007508669,0.001097613,0.00082321,-2,0.160587066
-1,109,-1,106352,-1,-1,0.001024898,-1,0.319603315
5056,932,123,304369,0.016611416,0.000404115,0.003062073,41.10569106,0.318571798
1669,131,124,162162,0.010292177,0.000764667,0.000807834,13.45967742,0.672694549
8065,683,260,738087,0.010926896,0.000352262,0.000925365,31.01923077,0.124169383
2325,343,65,178456,0.013028422,0.000364235,0.001922042,35.76923077,0.227601424
1452,166,119,117935,0.012311867,0.00100903,0.001407555,12.20168067,0.651372966
6231,783,176,164012,0.037991123,0.001073092,0.004774041,35.40340909,0.347039097
8570,976,344,539733,0.015878221,0.000637352,0.001808302,24.9127907,1.579562697
2666,207,41,86390,0.030860053,0.000474592,0.002396111,65.02439024,0.381909505
6317,599,226,609128,0.010370563,0.000371022,0.000983373,27.95132743,0.252389931
6070,644,347,437484,0.013874793,0.000793172,0.001472054,17.49279539,0.350998239
2177,267,229,204382,0.010651623,0.001120451,0.001306377,9.506550218,1.155069948
5883,396,217,307658,0.019121882,0.000705329,0.001287144,27.11059908,0.184881215
1095,240,500,122675,0.008926024,0.00407581,0.001956389,2.19,1.303580562
