videoId,likes/dislikes
dmW1KBjiOyg,25.692786069651742
pmQMR57Fzyo,-2
4gIe8acCLck,19.3062015503876
KvSAsT4Y2HY,9.921259842519685
K8vV_K3Kuv4,21.6984126984127
uQtgP7ve3p4,61.5924308588064
1SBzlEQyFgE,42.24304840370752
rTYULHMIAnA,29.37704918032787
HyFv04iLgRU,43.90229885057471
Wh_DXsjslCE,21.353658536585368
ciKJSaGkXDg,-2
Knb_P5PcLHc,7.8401625465628175
Mv9LJE0Q-LU,28.926829268292682
b9VNGae7N0A,31.187603305785125
sskFFLTZoQ0,6.148843930635838
2vRjGYDaWOM,51.0859375
4JqcUZM13O8,5.459988485895222
QuoO2de2Q0Q,51.87323943661972
0jXqujgf0GI,7.052631578947368
9_QOYXTvQsA,7.666622673881483
rdv6P8_w5e0,31.105822550831792
FVgF5FuA-Bw,26.21641791044776
w8mvBZX4fvo,34.442081701175155
HfHZqoovPHU,7.523164296574546
J5nAujZEKmU,84.1384327457136
VxV62IlQhQY,-2
53xlke6q2jk,20.573394495412845
A57Awp0Lz48,25.329846582984658
TqiHJEzJygo,14.047204968944099
qfvaCTtijsM,3.81961803819618
baxOTnMn0IU,33.37135404315865
sk5DrHdTGto,5.90625
XJTVA2ev6_o,45.41816623821765
7HjV5f_AVcs,-2
a6BOiQLXVNc,22.802325581395348
9XtO9bptUtI,-2
XwVhbUIHgbw,-2
pH5yY68VWio,70.6372155287818
1dHOuroDoVs,15.380933062880324
17L_VaP-U_s,7.513006654567453
a_PRr8afM60,8.603125
jX20836J9C0,-2
v7f_VZPQg20,47.23364485981308
PhUi3UUUVv4,14.68567454798331
9bZkp7q19f0,7.045966455552752
mIQToVqDMb8,4.2561644741191245
CH1XGdu-hzQ,4.166627043875637
LZCKHjcLjCk,7.257089470213233
rX372ZwXOEM,7.508341779059796
wcLNteez3c4,4.256896872630867
_zw4SMa_9P0,-1
9aDAbQCfUSQ,3.0458557057335063
3MaQ2qgzmzM,5.191594718131031
L9-YSLkwTk8,11.940418001011293
QZmkU5Pg1sw,15.71767710915784
W6pOgARMJOE,-1
wZYYwCYi6_I,28.42007434944238
E_Opz9hMvV0,3.3692587539790813
mP1DPTY4Y7o,3.5209624614602206
hWrWmU6VclA,2.9565233929250665
wT1Xb2njBX4,5.618634369635704
kpZhZAr1cQU,16.334556820462822
1T6utlXm6dM,15.542487684729064
AsGb8ionxr8,2.671958320563898
kvsgjlirljg,4.646920316331336
k_ZSiAL7JZc,9.201712654614653
4aqkBc14ZC8,-2
VL0sD0Iyjzo,3.0850153722764335
9HPiBJBCOq8,5.6494442376216565
SrXAaWyDWOY,24.37837837837838
hdiLT7ebHlk,-2
LOsNP2D2kSA,11.426993865030674
bjQKCLvtLN0,4.21524454301389
ASO_zypdnsQ,5.833307691611537
EHOOM9-VBh8,1.7347473784556722
vzhJixCzOc4,7.168055004627793
85gLPeigWSo,3.2851361229474585
_tR4pB2cxwg,-2
ceVlltPBcHg,4.198303799213956
lKKfAuvnL_0,4.640909090909091
BafPAAOfkUI,4.948482864003493
84vyCo8vFHc,25.14406779661017
Rjq2_Mg3pSA,6.213052576510594
DoVWG247tT4,-2
auPfOA037LA,7.357575757575757
s7QE62FDn08,3.1496349542566136
KxW4T_S5_ns,6.985599592200841
tKwdDbdPego,7.005359852765491
2zPiQgUQt3E,7.6068515497553015
_cG7ZVBXQII,5.270423513075677
bTPEcRrzhZ8,23.01926936973103
prvA-qUptp0,5.476325661563419
z3OswkrEQqo,7.766773766773767
FDuqwuxtpXc,4.487385321100917
KlwPtIMSWyA,59.60584415584415
NK6BCPoR40A,2.3621161523589524
lDSsauHmu6g,5.493317132442284
_xnTXOILPJo,11.643323575771223
DhoNLILpuy0,8.450224522414187
_pd6IZTIktw,-2
82YyRnz_8oU,36.55667001003009
yTCRwi71_ns,7.396602182539683
9juI1ecKxxQ,27.849516302400573
