videoId,likeCount,commentCount,dislikeCount,viewCount,likes/view,dislikes/view,comments/views,likes/dislikes,views/subscribers
7-iBeFQUIVs,92194,4840,2438,7657751,0.012039305012659722,0.00031837023690114763,0.0006320393546355843,37.81542247744053,3.3458883866199325
ZDsLYwBIrpA,165776,6014,2483,7171474,0.02311602886659005,0.0003462328664929971,0.0008386002654405496,66.76439790575917,3.372017968472919
xiNbVgBilSw,147042,4020,3958,12465858,0.011795577969843712,0.0003175072265382776,0.0003224808111884477,37.150581101566445,2.1216680950523608
kfrB0-7uXjs,957,22,38,112606,0.008498659041258903,0.0003374598156403744,0.00019537147221284834,-2,1.7592505294166378
yHA9lxVhNdo,81664,3241,2519,5560700,0.014685920837304656,0.0004530005215170752,0.0005828402898915605,32.419213973799124,1.9233382891978368
aWZua5HYfnY,18713,450,650,985334,0.018991529775690272,0.0006596747904771377,0.00045669793186878764,28.78923076923077,1.4930483755466266
rUNUnLIxVI0,6146,234,219,487215,0.01261455414960541,0.0004494935500754287,0.00048028077953264983,28.06392694063927,0.8960769069980875
mdtpZz3Fk1c,3885,522,660,286815,0.01354531666753831,0.002301134877882956,0.0018199884943256106,5.886363636363637,1.6031811874086253
QfpgUe7jsr0,31080,1103,1418,3022578,0.010282613054154434,0.0004691359495106495,0.00036492027666448973,21.918194640338506,2.2449724213953015
9ZsRQNUQ8Vo,138146,6267,3011,12684106,0.01089126817451699,0.0002373836989378676,0.0004940829097454721,45.88043839256061,0.6087025098608732
lGkqNVrgFWE,86415,3172,3369,8458080,0.010216857726576245,0.0003983173486181261,0.0003750260106312544,25.650044523597508,0.8531106525732611
8uzXFv9f_qc,78516,2719,4674,7913176,0.009922185479003627,0.0005906604377306912,0.0003436041356845848,16.798459563543005,1.4477819631886286
eq8gmDFagRk,4426,156,355,578200,0.007654790729851263,0.0006139744033206503,0.0002698028363887928,12.467605633802817,1.2786413442922504
qPweDwkDw6w,89352,3148,4837,11349056,0.00787307772558352,0.00042620284894179743,0.0002773798983809755,18.472606987802358,0.8663785720329451
sLaOUarJibo,23075,696,1113,1498953,0.015394078400056573,0.000742518277757875,0.00046432409822055794,20.73225516621743,0.8311415204450785
aSMxY_O0NTA,155969,6364,5223,13520968,0.011535342735815956,0.0003862889106756262,0.00047067635985825865,29.861956729848746,0.2533634871597118
UMsA3T4xsU8,120420,5287,2552,11437686,0.010528353374974623,0.00022312205458341835,0.00046224384897434675,47.18652037617555,0.581835002436658
rRSBpIZiid4,1811,88,36,128792,0.01406143238710479,0.0002795204671097584,0.0006832722529349649,50.30555555555556,3.739622829524452
6mc7cU5mN80,9899,496,409,839779,0.011787625077550165,0.00048703289794100593,0.0005906315828331025,24.202933985330073,15.796785675222536
IKZ41mDtayc,93026,3526,2685,7196573,0.012926430399580467,0.00037309424916554034,0.0004899554273957896,34.646554934823094,7.9459757664510375
QGug_eltOnE,47276,1610,1468,5967274,0.007922545537543608,0.00024600847891348713,0.0002698049394078435,32.20435967302452,78.70220127858697
NNqhURzgEOY,48777,2093,1878,6523850,0.007476720034948688,0.00028786682710362746,0.00032082282701165725,25.972843450479232,13.747281355038556
I9p-FyeoHo0,57547,3456,3161,5064332,0.011363196567681581,0.0006241691895397064,0.0006824197149791917,18.205314773805757,0.5334310947077044
7Nn45WvKONM,35222,1584,2038,3039440,0.011588318900850157,0.0006705182533624615,0.0005211486326428552,17.28263002944063,10.867630718177667
W21StuboNl8,51298,1720,2069,5437896,0.009433427928743028,0.00038047803782933695,0.0003162988038020587,24.793620106331563,127.92905665543026
xjMk6UrkJ9g,5315,141,261,394180,0.013483687655385865,0.000662134050433812,0.0003577046019584961,20.3639846743295,16.860320665286356
EiBe_-FwYZ8,8892,183,536,710368,0.012517455741249605,0.0007545384927248975,0.0002576129555385378,16.58955223880597,210.36043732659397
TQfGgJulCAc,10336,276,323,901930,0.011459869391194439,0.0003581209184748262,0.00030601044426951094,32.0,0.7899783478063164
AExTAC1d1zA,65665,2180,1607,7614814,0.008623322907164903,0.00021103601479957357,0.00028628407732611723,40.861854387056624,0.612542498048042
GGmrutEnsnY,2889,288,350,429766,0.006722262812786493,0.0008143966716771452,0.0006701321184086224,8.254285714285714,0.31848806089051585
tRLConvNTYg,22678,863,802,1983274,0.01143462779222639,0.0004043818453728532,0.0004351390680259006,28.276807980049874,0.2653934803720265
8uN4r87e618,8618,275,684,818209,0.010532761189378265,0.0008359722271448982,0.00033609994512404535,12.599415204678362,0.714768038647888
679fwkCUfEE,27835,1273,604,2064683,0.013481488441567059,0.0002925388546328904,0.0006165595396484593,46.08443708609271,0.7899936594410438
jpiF8AwkBTo,36127,1693,828,2893701,0.012484703844661214,0.000286138754487765,0.0005850639025939446,43.63164251207729,0.1775911692184589
np0-bHANnEg,37682,1650,1246,4910791,0.007673305583560774,0.0002537269454147,0.00033599475115108745,30.242375601926163,0.560800188233967
dyqmCzbemys,291,5,32,34650,0.008398268398268398,0.0009235209235209235,0.0001443001443001443,-2,0.560800188233967
