videoId,comments/views
1wZJpVRe2rY,0.0
Q3DyO8nlS3w,0.0
tH3QxFG9DaA,0.0
bGi_FhuJDq0,0.0
8Wfll2uooJA,0.0
Y-eCVRvYnxw,0.0
EGfmkl2hCvY,0.0
SxK6pn-igTU,0.0
8lP_PZai5h0,0.0
VzFVPsP4Hr4,0.0
-6UeKeyho18,0.0
6C15YvjFTR0,0.0
sAT-bwaWU5I,0.0
fvCTNm9Lw20,0.0
eyuGcQVK5OY,0.0
pwfP0--pfBY,0.0
cn1PZ2PwD4I,0.0
ZrC4hdKjuVY,0.0
A3LVGtlJdj4,0.0
OgV1GGyRdb4,0.0
m4Dwowg1ngQ,0.0
Kyu3NdRwxrk,0.0
ci-wNbFZrow,0.0
-xOaI_PprGM,0.0
_44_RujM8JY,0.0
TiUW2VS3nVc,0.0
9Bvj7W8vrRo,0.0
o2f5Y4JfaNU,0.0
Ysa5y6KcLd0,0.0
tWe2R9KkXcY,0.0
j0-I0Jq1i4U,0.0
EwxswOsLbAA,0.0
lZ6n8jd2agQ,0.0
7Kg6PEfqd_Q,0.0
Hj2VOLVa-Pg,0.0
tpt-amzZAnc,0.0
PPVjqJvAo2g,0.0
6xduGOoPquQ,0.0
xOHBJtde2-c,0.0
c4atm5-inho,0.0
ZjevzfhvwEo,0.0
GQtNf4IKhXI,0.0
xadoqncFr4w,0.0
2p58i5nAJmM,0.0
yfQR9_SbJx4,0.0
BxrDLfqh55U,0.0
-rOArlZ9Lvs,0.0
xlN3PBVbvUI,0.0
LNCj0eeG0Aw,0.0
OsSpPXtL9YY,0.0
aHTSkZ_5gUM,0.0
83AVO_aaDm4,0.0
15puQuoAeqc,0.0
UF-8bV8lfJM,0.0
TvYtisAq6k0,0.0
CVpNNVeBBrA,0.0
Gl32xLJ0lXE,0.0
ANf3eVzGuJc,0.0
4rBEdrA1r_M,0.0
AUScmPg0wr4,0.0
PN38w0abbfw,0.0
rpW9Q2540w4,0.0
JoCgvMFAtXE,0.0
oRxSaYziMzY,0.0
F5gARd73FPQ,0.0
U0ytk-MutP4,0.0
K7lVEErc5og,0.0
3OijDt7vUVk,0.0
